               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090811,            0.063863,            0.048694,             0.21634,             0.57408,             0.30641,            0.081809,            0.085862,            0.055085,            0.030832,           0.0032813,           0.0032813,            0.070469
                   1,            0.084738,            0.040295,            0.026249,             0.28043,              0.7532,             0.36641,            0.096324,            0.079367,            0.042696,            0.021767,           0.0065491,           0.0065491,            0.040403
                   2,            0.081653,            0.037359,            0.022159,             0.46725,             0.73495,             0.53038,             0.15981,            0.083097,            0.033432,            0.016432,           0.0097509,           0.0097509,            0.010272
                   3,            0.070527,            0.034021,            0.018372,             0.71477,             0.76074,              0.7965,              0.3514,            0.063312,            0.030514,            0.014061,            0.009703,            0.009703,            0.009703
                   4,            0.061067,            0.031869,            0.015782,             0.88821,             0.73458,             0.95493,             0.46163,             0.05407,            0.028372,            0.013395,            0.009703,            0.009703,            0.009703
                   5,            0.051142,            0.030864,            0.014661,             0.81542,             0.95518,             0.95024,             0.57931,            0.044998,            0.028922,             0.01226,            0.009604,            0.009604,            0.009604
                   6,            0.047999,            0.030243,            0.013641,             0.89587,              0.9662,             0.98266,             0.64664,            0.040426,            0.025653,            0.011847,            0.009505,            0.009505,            0.009505
                   7,            0.046929,            0.029122,            0.013093,             0.82989,             0.97762,             0.98356,             0.62597,            0.042564,            0.024894,             0.01149,            0.009406,            0.009406,            0.009406
                   8,            0.043158,            0.027956,             0.01263,             0.86824,             0.99106,             0.98595,             0.62719,            0.040138,            0.023819,            0.011262,            0.009307,            0.009307,            0.009307
                   9,            0.040626,            0.027062,             0.01243,             0.96131,             0.98605,              0.9927,             0.72433,            0.035376,            0.022548,             0.01111,            0.009208,            0.009208,            0.009208
                  10,            0.041628,            0.027241,            0.012064,              0.9556,             0.98808,             0.99386,             0.69208,            0.035446,             0.02282,            0.010992,            0.009109,            0.009109,            0.009109
                  11,            0.038926,            0.026361,            0.011952,             0.98899,             0.99371,             0.99393,             0.70995,            0.033195,            0.022206,            0.010741,             0.00901,             0.00901,             0.00901
                  12,            0.037287,            0.025751,            0.011806,             0.99393,             0.99253,             0.99395,             0.70763,             0.03262,            0.022102,            0.010799,            0.008911,            0.008911,            0.008911
                  13,            0.036641,            0.025683,            0.011716,             0.99304,             0.99398,             0.99396,             0.73177,             0.03321,            0.022412,            0.010612,            0.008812,            0.008812,            0.008812
                  14,              0.0373,            0.025339,            0.011599,             0.99431,             0.99785,              0.9943,             0.66303,            0.035191,            0.022281,            0.010444,            0.008713,            0.008713,            0.008713
                  15,            0.037102,            0.025406,            0.011215,             0.99508,             0.99243,             0.99479,             0.77041,            0.030736,            0.020987,            0.010378,            0.008614,            0.008614,            0.008614
                  16,            0.036671,            0.025396,            0.011147,             0.99269,             0.99448,             0.99444,             0.78324,            0.033361,            0.021536,            0.010221,            0.008515,            0.008515,            0.008515
